N,sym,U_ss,U_pp,zeta,beta_s,beta_p,g_ss,g_sp,g_pp,g_p2,h_sp,alpha,beta_pi,beta_sh,beta_ph,alpha_s,alpha_p,alpha_pi,alpha_s_h,alpha_p_h,fval1,fval2,dd_om2,qq_om2,am_om2,ad_om2,aq_om2,hyf,EISOL,gval1,gval2,zscor,fscor,bscor,ascor,c6_1,r0_1,c6_2,r0_2
1,H,-12.6489,0.0,1.47386481,-3.4199822,0.0,12.848,0.0,0.0,0.0,0.0,0.06607903,0.0,-3.4199822,0.0,0.06607903,0.0,0.0,0.06607903,0.0,0.29566861,1.40190659,0.0,0.0,0.4721793,0.4721793,0.4721793,0.0,-12.6489,0.65271563,0.9084367,0.0,0.0,0.0,0.0,0.1383614,0.09195488,0.1334972,0.10685589
6,C,-51.65550844,-39.74369825,1.42036892,-7.21406021,-4.14394503,12.23,11.47,11.08,9.84,2.43,0.09045297,-5.97107657,-6.30164062,-4.04444703,0.09045297,0.05452192,0.10204903,0.09668329,0.05283694,0.49949211,0.72261226,0.6671063,0.5728908,0.4494671,0.6837422,0.7558142,3.39103449,-120.32841338,0.21284361,0.99250289,5.16802668,-305.68646337,-9.07185084,0.16985745,1.74837313,0.14057505,1.74649564,0.14169369
7,N,-74.3763824,-57.60067613,1.33175233,-10.84303446,-7.62373736,13.59,12.66,12.98,11.59,3.14,0.08974553,-9.27936312,-9.49567107,-8.51180846,0.08974553,0.0875968,0.13172314,0.11429048,0.10673732,0.64073384,0.19580808,0.5906863,0.4791483,0.4994487,0.8196213,0.8858938,3.00257673,-208.73979319,0.13946233,0.8437306,6.939806,-407.39202305,-9.9791021,0.16173024,1.22660965,0.13120977,1.22649173,0.14069819
8,O,-101.82723464,-78.92823923,1.55214516,-10.64436974,-8.63610952,15.42,14.48,14.52,12.98,3.94,0.13062089,-9.2120119,-6.54238767,-10.11307271,0.13062089,0.09626876,0.13071747,0.11112738,0.11891861,1.26450169,1.14847352,0.4369227,0.3087891,0.5667034,1.0719202,1.2430674,2.22096546,-326.7574262,0.28309603,0.78414131,7.58579774,-514.45812327,-14.16551053,0.34390559,0.70235574,0.1394371,0.6897472,0.13069564
9,F,-120.6278537,-107.27105397,1.45216726,-6.25438426,-13.93492471,16.92,17.25,16.71,14.91,4.83,0.26624434,-18.73205761,-6.25104378,-13.94492971,0.26624434,0.12261412,0.21684388,0.44713918,0.15648906,2.11499396,1.09156321,0.5106623,0.3932237,0.6218302,1.0805856,1.09991,2.08244413,-463.24097725,0.31704089,0.02140504,8.71226515,-685.41988599,-9.17960365,0.99971548,0.75,0.1287,0.75,0.1287
14,Si,0.0,0.0,1.0,0.0,0.0,9.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36089673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,P,0.0,0.0,1.0,0.0,0.0,11.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42484381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,S,-71.46564965,-57.0476859,1.21691426,-22.88707847,-10.17175344,10.00682168,9.84808033,11.32354984,9.30536965,2.40203017,0.15011196,-5.21602619,-3.30374395,-9.43749652,0.15011196,0.05408727,0.04317379,0.09317913,0.05756239,0.78633466,0.08622897,0.0,0.0,0.0,0.0,0.0,4.42488764,-237.11557146,0.16039903,1.54712458,7.19878404,-2757.23907496,-8.36431055,9.81491219,0.0,0.0,0.0,0.0
17,Cl,0.0,0.0,1.0,0.0,0.0,15.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55237045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,**,-11.6438234,0.0,1.10810736,-8.51187019,-8.51187019,11.99011922,0.0,0.0,0.0,0.0,0.06785782,0.0,-8.51187019,0.0,0.06785782,0.0,0.0,0.06785782,0.0,0.95461749,0.0,0.0,0.0,1.1346843,1.1346843,1.1346843,0.0,-11.6438234,0.9888927,0.92813978,5.16802668,-305.68646337,-9.07185084,0.16985745,0.0,0.0,0.0,0.0
